username,userid,profile_location,created_at,text,retweet_count,source,coordinates
The Angry Turtle,931327968,"Compton, CA",2023-01-20 23:09:34,@RudyGiuliani Where's that money Santos stole from a homeless vet?,0,Twitter for Android,
squidwards thoughts…,948191054,"Pasadena, CA",2023-01-20 23:06:20,Some homeless dude tried to chase me in my car…,0,Twitter for iPhone,
geewhzz,310135928,"Los Angeles, CA",2023-01-20 22:55:58,"@creativeglare @LoriMills4CA42 @KTLA You’re a bum, why do you have a phone and have time to be on the twitters. Bum… https://t.co/YjcBbGGn0A",0,Twitter for iPhone,
Glen Dunzweiler,3299990612,"Burbank, CA",2023-01-20 22:47:48,"@hardlynormal @invisiblepeople Thanks for the information. No one listens to me, but maybe someday! It’s good to ha… https://t.co/j7vSXDa9wi",0,Twitter for iPad,
Liam Dillon,32186559,"Los Angeles, CA",2023-01-20 22:36:29,"Besides concerns over a malfunctioning elevator in its Skid Row building, AIDS Healthcare Foundation's legal tactic… https://t.co/qCf32xY05S",8,TweetDeck,
Ryan Spallone,1361604454773116928,"Los Angeles, CA",2023-01-20 22:26:55,Wouldn't homeless dogs be considered wild dogs?,0,Twitter for Android,
David Dance,37878938,"Los Angeles, CA",2023-01-20 22:25:09,@twitbzed @ninaturner What are you even talking about. You got some stories crossed. It's not the homeless on SNAP… https://t.co/vUDMFJukzF,0,Twitter for Android,
billypollina,17029068,"Los Angeles, CA",2023-01-20 22:24:21,@hector_9595 @beardtough @ManMaker5 @choeshow ? This is data from both state and federal government studies. It’s n… https://t.co/qOsz9Glyw4,0,Twitter for iPhone,
Stan Oklobdzija,242240781,"Los Angeles, CA",2023-01-20 22:23:00,"When I was a kid, I asked my grandpa why all the buildings in New Belgrade were ugly concrete blocks. He said that… https://t.co/AVCMi2NIdj",2,Twitter Web App,
Kedar,944229865,LA,2023-01-20 22:22:33,“Nobody — nobody — is less accountable in California than the bureaucrats and activists who administer homeless ser… https://t.co/DJU2yXB15P,0,Twitter for iPhone,
